step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76
1	-8108.221777918559383	-8106.759695834040940	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.722354336152333	0	4	3	6	13	14	15	15	16	16	15	18	19	18	18	16	19	18	18	18	18	20	19	19	20	19	19	20	19	19	19	19	20	20	22	21	22	21	21	21	22	23	22	22	23	22	22	23	25	23	23	24	24	24	26	24	26	25	25	24	25	28	27	27	27	27	28	28	29	28	28	27	29	29	31	29	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	7	7	8	8	8	8	8	9	10	9	9	8	10	9	9	9	9	10	10	10	10	10	10	10	10	10	10	10	10	10	11	11	11	11	11	11	11	12	11	11	12	11	11	12	13	12	12	12	12	12	13	12	13	13	13	12	13	14	14	14	14	14	14	14	15	14	14	14	15	15	16	15
500	-1084.369005782190470	-1081.742459944726761	-2.626545837463694	0.000010063939844	0.000041899180757	4.163298012988747	0.204357899939081	0	3	4	6	10	11	15	14	16	15	13	19	19	19	17	14	19	18	19	17	18	21	18	18	21	20	19	20	19	20	20	20	20	18	21	22	22	22	21	22	22	21	23	22	22	23	23	23	26	24	23	25	24	25	26	23	26	26	26	24	25	29	28	28	28	28	28	29	30	27	28	27	28	30	32	30	0	1	2	3	0	2	11	5	6	11	6	9	6	7	5	11	34	10	10	6	16	5	6	9	12	9	15	5	6	5	5	20	7	11	10	10	6	6	21	5	16	11	10	6	9	5	19	6	8	6	5	16	6	16	6	28	6	6	6	16	16	15	6	6	6	6	6	6	6	54	6	6	6	6	6	6	1	1	1	1	1	7	1	3	2	1	2	2	4	2	4	1	1	1	2	3	2	10	2	1	1	2	1	6	3	6	5	3	3	4	2	4	5	10	2	6	6	4	6	6	4	10	3	9	8	12	5	9	9	7	10	1	13	13	7	8	9	9	11	13	12	13	11	9	16	1	14	9	11	12	13	16
1000	-826.727264365259543	-824.060027132476876	-2.667237232782627	0.000010074879704	0.000043296373736	4.297458134272651	0.261811739226577	0	2	4	6	10	12	15	15	14	17	14	16	19	18	17	16	20	18	19	17	18	21	20	19	19	18	20	19	20	20	19	19	20	19	21	22	23	22	20	20	21	23	23	23	24	22	23	21	26	23	23	25	24	24	27	22	27	25	26	23	26	28	25	28	28	27	29	28	29	28	29	26	30	29	31	30	0	1	2	3	0	5	11	5	6	11	6	6	9	11	5	11	34	10	10	9	16	19	25	12	12	20	28	15	14	5	8	20	7	11	10	19	24	12	21	8	21	16	36	9	38	5	36	20	46	10	8	41	21	16	9	15	12	9	48	16	42	51	9	26	48	12	16	13	12	54	53	48	6	42	38	9	1	1	1	2	1	1	1	3	2	2	1	2	2	2	4	1	1	1	1	1	2	2	1	2	1	1	1	1	2	5	2	1	2	2	2	1	2	4	1	4	1	4	1	5	1	10	1	2	3	6	3	2	4	5	7	4	7	8	3	4	2	2	4	8	5	7	7	7	10	2	4	3	12	4	4	12
1500	-608.757461494967743	-606.072485474012637	-2.684976020955137	0.000010063776669	0.000043843989169	4.356613884886052	0.479914358437050	-1	2	3	6	12	14	15	14	15	16	13	18	19	18	17	17	20	18	18	17	19	20	20	19	21	20	18	20	20	19	18	20	20	18	22	20	22	20	21	21	21	22	22	23	22	22	23	22	24	24	22	25	24	23	24	24	26	26	25	22	26	29	27	26	26	27	29	28	28	28	28	28	29	30	29	29	0	1	2	3	0	11	11	5	6	7	5	6	9	7	5	11	34	10	10	9	16	19	13	12	38	12	15	27	34	5	8	20	7	11	10	18	24	12	16	30	16	21	36	25	26	27	36	25	46	43	15	41	41	41	12	46	38	48	48	21	60	51	25	12	48	48	60	25	59	60	54	59	12	60	25	65	1	1	1	2	1	1	1	2	1	1	1	2	2	2	2	3	1	1	2	1	1	1	1	1	1	1	1	2	2	4	2	2	3	3	3	1	2	1	2	1	2	1	1	1	1	3	2	1	1	2	2	1	3	1	3	1	3	2	2	2	2	3	2	3	2	3	5	4	2	3	3	2	5	5	5	2
2000	-524.342355100297368	-522.428654470242122	-1.913700630055274	0.000010261285307	0.000021765007793	2.121080073604851	0.589169477827857	0	2	4	6	12	15	16	16	16	17	14	19	19	19	18	17	20	18	19	17	19	19	20	20	20	19	18	20	19	19	20	20	20	17	22	20	23	21	21	21	22	20	22	22	23	22	23	23	25	23	23	25	24	24	27	24	25	25	25	22	25	27	27	27	26	28	27	27	28	28	28	28	29	29	31	29	0	1	2	3	0	11	11	5	6	7	5	9	6	7	8	11	34	10	10	6	16	10	12	13	9	20	8	8	34	8	30	20	11	11	19	22	24	13	21	30	42	16	36	13	26	28	36	26	28	43	8	41	41	60	45	46	25	48	48	16	60	51	23	58	59	64	61	25	59	60	54	59	38	61	68	59	1	1	1	1	1	1	2	2	1	1	2	1	2	2	2	2	1	1	2	1	2	2	1	1	2	1	1	2	1	2	1	1	3	1	2	1	2	2	1	1	1	1	1	1	2	1	2	3	3	1	4	2	1	1	2	1	3	1	2	2	2	2	3	2	1	1	1	3	2	2	2	2	3	2	3	2
2500	-505.849789897467190	-503.690175272518388	-2.159614624948822	0.000010314486271	0.000028530811409	2.766091364945340	0.643909427531204	1	3	4	6	12	14	15	16	16	17	13	17	20	19	16	16	19	18	19	18	19	20	19	20	19	19	20	21	19	19	19	20	21	17	22	19	22	22	22	21	22	21	22	21	24	23	22	24	25	24	23	24	24	25	25	25	25	25	25	23	26	25	26	28	26	27	28	28	29	28	29	27	29	29	31	29	0	1	2	3	0	11	11	5	6	7	5	6	25	11	5	11	34	10	10	9	16	19	12	9	6	9	15	15	34	8	8	20	14	11	19	10	24	13	21	30	42	21	36	12	26	28	36	26	28	43	28	41	41	60	26	46	25	48	48	42	60	51	13	58	59	58	54	38	59	60	61	65	57	70	73	59	1	1	1	1	1	1	1	2	2	1	1	2	1	4	2	2	1	1	1	1	2	1	2	1	2	2	2	2	2	1	2	1	1	2	1	1	1	1	2	2	1	1	2	2	2	2	2	2	2	1	2	1	1	2	3	1	3	1	1	1	2	1	3	2	1	2	2	2	3	2	1	1	2	1	1	3
3000	-507.753896990307851	-505.763950132858952	-1.989946857448927	0.000010398273107	0.000024077436082	2.315522571328698	0.679919045385210	1	2	4	6	12	14	15	15	16	16	13	18	19	18	17	16	20	18	17	18	19	20	20	19	20	20	19	20	20	19	19	20	19	19	21	21	22	21	21	22	22	21	22	22	23	21	22	22	23	23	24	23	25	25	27	24	27	25	25	23	26	27	27	28	27	28	28	28	26	28	27	28	27	29	32	29	0	1	2	3	0	11	11	5	6	7	5	6	6	16	5	11	34	10	10	9	16	10	12	9	13	20	15	27	34	5	5	20	11	7	19	22	24	13	21	30	42	16	19	25	26	15	36	26	15	43	27	41	41	60	45	46	13	48	48	42	54	51	38	58	59	58	61	73	59	61	61	65	25	70	68	69	1	1	1	1	1	1	1	3	2	1	1	2	2	1	2	2	1	1	1	1	2	2	1	1	1	2	1	1	1	3	3	1	3	2	2	1	2	1	1	1	1	3	3	1	2	2	1	1	3	1	1	1	2	2	2	1	5	1	2	1	1	2	3	2	1	2	1	1	1	1	1	1	3	1	2	2
3500	-509.135222086864189	-507.198018143325100	-1.937203943539070	0.000010596913087	0.000023107021471	2.180542699640122	0.568246960798048	-1	2	4	6	12	15	15	15	16	16	14	17	19	19	17	16	19	19	18	18	19	20	19	20	20	19	20	21	19	19	20	20	20	17	21	21	23	21	22	21	20	21	23	23	22	22	23	23	25	24	24	24	24	25	26	24	26	25	25	23	26	29	26	28	26	27	28	29	30	28	29	28	28	30	31	30	0	1	2	3	0	11	11	5	6	7	5	6	12	7	8	11	34	19	10	6	16	10	12	12	13	20	15	15	34	8	30	20	7	11	10	19	24	25	21	30	16	16	36	38	26	15	36	45	27	43	27	41	41	60	45	46	44	48	48	42	60	51	38	48	59	48	60	73	59	61	60	65	38	70	68	59	1	1	1	1	1	1	1	2	1	1	1	2	1	2	1	1	2	1	2	1	2	2	1	1	1	1	2	2	1	2	1	1	2	1	1	1	2	1	1	1	2	3	1	2	2	2	2	1	2	1	2	2	2	2	3	2	1	2	1	1	2	2	2	2	1	2	3	1	2	1	3	1	3	1	1	2
4000	-506.256672788116987	-504.316853758363777	-1.939819029753233	0.000010959106807	0.000023969584719	2.187184151109804	0.660058612843573	-1	2	3	5	12	14	15	16	16	17	13	17	19	17	18	16	19	18	18	18	17	20	19	19	20	19	18	20	19	18	19	20	20	17	22	20	21	22	21	21	22	21	21	22	22	22	22	23	25	23	23	25	25	24	26	23	26	25	25	22	26	29	26	27	26	27	28	27	28	28	26	27	28	30	32	29	0	1	2	3	0	11	11	5	6	11	5	6	12	11	8	11	34	10	10	6	16	19	12	12	13	20	8	15	34	8	8	20	7	7	22	10	24	25	16	8	42	16	36	25	26	27	36	45	15	43	15	41	41	60	45	28	25	48	48	42	60	51	38	48	59	48	61	63	59	61	54	65	38	54	73	59	1	1	1	1	1	1	1	2	2	3	1	2	1	2	1	1	2	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	2	1	1	2	2	1	3	1	1	2	2	2	1	4	1	3	3	2	2	2	2	2	2	1	1	2	2	2	2	1	2	1	1	2	1	1	1	2	3	2	2
4500	-514.922981859057927	-513.018660885582790	-1.904320973475085	0.000012152720860	0.000025489864798	2.097461555407865	0.678790219139825	1	2	4	6	11	14	15	16	17	16	13	17	18	17	19	16	19	18	19	18	18	19	19	18	20	19	18	21	20	18	20	19	20	18	23	20	21	22	21	21	22	22	23	22	23	23	23	23	26	24	23	23	24	24	26	25	26	26	24	22	25	29	28	28	27	27	28	29	29	27	26	28	28	30	32	29	0	1	2	3	0	11	11	5	6	11	5	6	9	7	5	7	34	7	10	9	16	10	9	12	13	20	8	27	34	8	15	20	7	11	18	18	24	13	16	8	16	21	36	25	26	15	36	26	28	43	8	41	41	60	45	46	44	48	48	16	60	51	44	58	59	48	61	73	59	61	61	65	38	70	73	59	1	1	1	1	1	1	2	3	2	1	1	2	1	1	4	1	1	2	2	1	1	2	1	1	1	1	1	2	1	2	1	1	2	2	2	1	2	2	3	2	2	2	2	1	2	2	2	2	3	1	3	1	1	1	2	1	2	2	1	2	2	3	2	1	1	2	2	1	2	1	1	1	3	2	2	2
