step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	Tinf_113	Tinf_114	Tinf_115	Tinf_116	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	alpha_113	alpha_114	alpha_115	alpha_116	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112	kappa_113	kappa_114	kappa_115	kappa_116
1	-4844.663187419250789	-4851.518675370210076	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.358128459602456	-1	2	2	4	4	5	5	7	5	7	5	7	8	9	9	9	10	10	9	9	10	11	10	10	11	11	10	10	12	11	13	11	13	14	13	12	13	12	14	14	14	15	14	15	14	15	15	15	15	14	15	18	16	15	16	16	16	16	16	16	16	17	18	17	17	17	17	18	18	18	18	18	18	18	17	18	18	20	19	18	19	19	18	19	18	21	21	20	21	20	19	19	20	21	21	20	21	21	22	22	22	23	24	22	24	23	23	23	23	22	22	24	24	28	25	26	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	3	4	3	4	3	4	5	5	5	5	6	6	5	5	6	6	6	6	6	6	6	6	7	6	7	6	7	8	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	10	9	8	9	9	9	9	9	9	9	9	10	9	9	9	9	10	10	10	10	10	10	10	9	10	10	11	10	10	10	10	10	10	10	11	11	11	11	11	10	10	11	11	11	11	11	11	12	12	12	12	13	12	13	12	12	12	12	12	12	13	13	15	13	14
500	-918.528642418681443	-925.384130369640843	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.289934527333358	-1	3	1	4	4	5	5	8	6	6	6	4	8	10	9	9	9	10	8	10	9	11	9	10	11	11	7	10	11	11	14	11	14	13	13	12	13	12	15	15	13	15	13	15	15	16	12	15	16	14	15	19	16	16	16	16	17	16	16	16	16	17	18	15	17	17	17	18	18	18	19	19	18	19	17	18	16	20	20	18	19	19	19	19	19	22	22	20	21	20	17	19	20	21	21	20	22	22	22	22	22	23	24	21	25	23	24	24	24	22	23	25	23	29	25	25	0	3	0	3	2	2	2	6	6	4	6	0	10	27	12	12	10	13	12	27	12	27	12	12	17	23	12	12	15	16	37	23	17	18	12	15	27	24	23	26	14	24	23	43	41	24	28	10	15	15	38	26	14	32	19	50	56	28	31	31	37	77	47	16	35	31	41	50	67	34	64	69	36	12	59	15	64	38	57	16	45	15	31	41	66	47	72	13	74	15	35	35	47	27	61	77	32	45	32	78	31	0	41	18	16	97	96	47	32	35	67	23	27	47	16	47	1	1	1	2	1	1	2	2	1	1	1	1	2	2	2	3	1	1	2	2	1	2	4	2	1	1	2	3	1	1	1	1	2	2	7	1	4	1	2	2	3	2	1	1	2	2	1	4	3	3	1	4	3	2	4	1	1	2	1	1	1	1	3	4	3	2	3	2	1	3	2	1	3	11	1	4	1	5	2	5	2	6	2	3	1	4	2	6	2	7	2	3	5	7	2	2	4	3	6	1	6	1	6	6	8	1	2	10	7	5	3	6	10	9	10	9
1000	-730.852653584794552	-737.708141535753953	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.506016873275075	-1	3	1	4	4	4	4	7	6	7	6	6	8	10	9	10	9	10	8	9	10	11	11	10	12	11	10	11	11	11	13	12	12	13	11	12	14	12	14	14	13	15	14	15	14	15	15	16	16	15	15	18	16	16	15	17	16	17	17	17	16	18	17	17	17	17	17	18	18	19	18	18	19	19	16	18	18	20	19	19	17	18	18	20	17	21	21	21	21	20	18	19	21	21	20	17	22	21	22	23	23	23	23	22	23	23	23	22	22	22	23	24	24	28	25	26	0	3	0	3	2	2	2	4	4	4	6	0	10	19	12	12	13	13	12	19	12	14	15	12	13	19	19	24	21	14	35	14	17	25	21	16	15	16	28	14	19	41	35	35	15	26	32	18	43	36	45	41	40	26	31	24	37	51	31	26	15	47	47	14	55	41	31	57	75	18	54	31	45	12	21	37	47	46	50	61	40	81	65	72	55	63	67	48	85	36	36	47	47	47	82	47	63	95	86	67	89	0	94	18	93	93	96	96	86	32	41	103	97	113	110	47	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	1	1	2	1	2	1	1	2	2	2	1	1	1	1	1	2	1	1	1	1	2	1	1	2	2	2	1	2	3	2	1	3	1	2	1	2	1	2	1	2	1	1	2	3	3	1	2	2	1	2	3	2	1	5	1	2	3	10	3	1	2	3	2	1	1	1	1	1	2	2	2	3	2	4	2	3	3	4	1	1	3	1	1	3	1	1	1	7	1	1	2	5	1	4	6	1	1	1	1	7
1500	-668.216526511761913	-675.072014462721313	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.587592392426951	-1	3	2	5	4	6	6	7	6	7	5	6	8	9	9	8	9	11	9	9	11	11	10	10	11	12	10	9	13	11	13	11	13	14	12	12	13	11	14	14	15	15	13	15	14	15	15	15	15	14	15	19	15	16	16	16	16	17	17	15	17	17	19	18	16	17	15	18	19	18	18	19	18	19	17	17	18	20	19	17	19	19	18	18	19	21	20	20	22	21	20	20	20	20	22	21	21	20	22	21	22	24	24	21	24	23	23	23	23	22	23	25	24	29	25	27	0	3	0	3	2	3	4	4	5	7	2	0	10	12	16	12	13	13	12	12	12	16	15	15	17	19	14	12	16	20	19	14	25	10	21	23	23	24	28	26	31	19	38	12	15	26	32	34	43	36	37	59	40	37	46	50	50	51	27	29	37	47	62	19	20	41	38	50	65	17	26	46	50	50	42	21	62	35	50	44	76	61	31	59	66	63	42	18	59	68	57	77	77	77	98	47	62	61	86	85	44	0	86	18	93	97	96	47	110	96	100	103	97	107	107	96	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	2	1	3	1	1	1	1	1	1	1	3	1	2	1	2	2	1	1	2	1	2	1	1	2	1	5	2	2	2	1	1	1	1	2	1	2	1	1	1	1	3	1	2	1	1	4	3	1	2	2	1	5	2	2	2	2	1	2	1	3	2	2	1	1	2	1	1	1	2	5	3	1	2	1	1	1	1	2	3	2	1	2	2	1	2	6	2	1	1	4	1	1	2	1	2	3	1	4
2000	-637.748841586084950	-644.604329537044350	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.626239783640136	-1	3	2	5	4	5	4	8	5	6	6	6	8	8	9	10	10	11	8	9	9	11	10	10	11	12	10	10	12	11	13	11	13	14	14	12	14	12	15	13	14	15	14	15	14	14	15	15	15	13	14	19	16	15	17	17	15	13	15	17	16	17	18	17	18	17	17	19	18	18	17	18	19	18	16	19	18	20	18	18	19	19	16	18	19	20	22	20	20	21	20	20	20	22	22	21	21	22	22	22	21	24	24	23	24	24	24	23	24	23	21	25	25	28	25	26	0	3	0	7	2	7	2	4	5	6	6	0	10	12	12	12	10	13	12	14	12	27	19	21	17	27	19	12	16	14	27	19	25	18	16	23	23	12	15	27	15	31	21	38	23	24	32	18	35	15	12	42	40	41	41	57	50	21	31	31	37	47	62	54	83	42	41	57	42	17	54	41	56	56	59	61	47	51	56	16	36	45	31	55	66	63	89	34	42	56	79	62	77	77	80	47	77	61	86	111	52	0	86	48	93	97	96	63	99	86	42	103	108	113	108	107	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	3	2	1	2	1	2	1	1	1	1	1	1	2	1	1	1	2	1	2	2	1	2	3	2	1	2	1	2	1	2	2	1	2	1	2	3	2	2	1	2	1	1	1	1	3	1	1	1	1	2	1	2	2	1	4	1	2	2	1	1	2	1	3	1	4	3	2	2	1	1	1	1	2	2	3	2	2	1	2	2	2	2	3	1	1	1	1	3	4	2	1	2	2	1	1	2	1	1	2	1	1
2500	-652.623830876317811	-659.479318827277211	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.650188431674706	0	3	2	5	5	4	5	7	6	7	6	5	9	10	9	9	10	10	8	7	10	11	8	11	12	10	9	11	13	11	13	11	13	14	14	12	11	13	15	13	14	15	15	15	13	15	15	16	15	14	15	18	17	15	16	16	16	16	17	15	16	17	17	18	16	17	17	19	18	17	17	18	18	18	18	19	18	20	19	18	19	19	19	19	18	21	19	19	20	17	19	18	20	21	22	21	22	21	22	21	21	23	23	20	24	23	24	23	23	22	22	24	24	29	24	26	0	3	0	3	2	3	6	11	5	4	6	0	10	19	23	12	13	2	20	12	12	16	12	16	17	19	23	12	27	16	23	16	25	13	21	23	23	24	28	19	45	41	21	37	15	24	27	34	45	36	38	41	54	29	42	50	50	21	41	31	44	32	47	43	41	31	44	50	42	17	41	16	50	50	31	61	47	39	50	61	43	43	65	72	66	63	55	48	55	50	90	62	77	77	80	62	94	80	86	87	52	0	62	48	93	62	96	62	99	86	100	103	108	108	108	107	1	1	1	3	1	1	1	1	1	1	2	1	1	1	1	3	1	3	1	1	3	1	1	1	1	1	1	2	2	1	2	1	1	2	2	2	1	1	1	3	1	1	4	2	2	2	3	1	1	1	1	2	1	2	1	2	2	3	2	1	1	4	1	1	1	1	1	2	2	3	1	4	2	2	3	1	1	3	2	1	3	1	2	1	1	2	2	2	3	2	1	1	1	1	2	2	1	2	1	1	2	1	3	2	2	3	1	2	1	1	1	1	1	2	1	1
3000	-611.538798314468636	-618.394286265428036	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.748084038752804	-2	2	1	4	4	5	4	7	5	8	5	7	9	10	8	9	10	10	9	8	10	12	11	10	12	12	10	11	12	12	14	12	14	15	14	12	12	12	14	12	14	15	14	15	13	16	15	14	16	13	15	19	17	15	16	16	17	17	16	16	14	18	18	17	16	17	17	16	19	16	18	17	18	19	18	17	16	21	19	16	18	20	19	20	19	20	20	21	20	21	19	20	20	21	22	20	20	21	21	21	22	24	24	22	24	23	23	23	22	22	23	25	25	28	25	27	0	3	0	2	2	3	3	6	5	6	7	0	10	19	12	12	13	13	20	12	12	24	15	12	17	21	19	16	27	19	37	19	25	18	37	23	15	21	28	24	19	31	24	35	21	38	32	10	35	36	38	59	40	24	31	50	50	38	41	41	15	77	47	54	42	42	42	50	42	18	54	42	56	68	59	23	47	46	68	61	61	81	65	85	66	63	55	48	85	57	57	77	77	62	80	63	77	80	86	52	52	0	86	34	47	94	96	96	99	99	100	103	108	105	107	113	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	2	1	2	1	2	2	1	2	1	1	2	2	3	2	1	2	2	2	1	1	2	1	1	1	1	1	1	2	2	2	1	2	1	1	2	2	1	3	1	1	2	1	2	1	2	1	2	3	1	2	2	2	2	2	2	1	2	3	1	1	2	1	2	3	4	1	2	2	1	1	1	1	1	2	2	1
3500	-657.284688749294901	-664.140176700254301	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.630111412043741	-1	2	1	5	4	6	4	7	5	7	3	6	8	10	8	9	11	11	8	10	11	12	10	10	11	11	10	8	12	12	14	12	13	14	14	12	13	13	14	13	14	15	13	14	15	16	15	16	16	14	15	19	15	13	14	17	16	17	17	16	16	17	18	17	18	16	17	17	17	19	18	19	17	18	16	18	17	19	19	18	19	19	17	18	19	20	22	20	20	19	18	19	20	21	22	20	22	21	21	23	22	23	22	19	23	23	23	23	23	22	21	24	25	27	25	27	0	3	0	7	3	7	2	4	5	2	3	0	6	16	12	12	10	13	12	19	27	26	15	12	13	19	19	12	27	14	36	16	17	10	16	15	23	24	16	19	27	31	26	43	23	38	32	18	39	36	37	55	26	14	27	36	50	51	75	41	37	47	62	53	83	55	40	36	31	33	35	42	50	57	31	61	47	45	57	35	61	61	66	67	66	63	59	13	42	57	56	47	92	77	80	63	93	61	86	111	67	0	86	34	93	93	96	63	99	99	72	103	107	107	107	108	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	2	2	2	1	1	1	1	1	2	2	2	2	1	2	1	1	1	1	4	2	2	1	1	2	3	2	1	1	1	2	1	1	3	1	1	1	3	2	2	2	4	1	1	1	1	2	1	1	1	1	1	2	3	1	3	2	2	2	2	1	1	1	2	2	3	2	1	1	1	1	2	4	4	2	2	1	2	1	2	3	1	2	3	1	2	3	1	1	3	2	2	2	3	1	1	1	1	1	2	1	1
4000	-632.881080020247509	-639.736567971206910	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.612650314734727	-1	2	1	4	4	5	5	8	6	7	5	7	9	9	9	10	10	10	10	10	9	12	11	10	11	11	8	8	12	11	12	12	14	14	12	11	13	12	14	14	14	15	15	14	14	14	15	15	15	14	16	18	17	16	15	16	16	16	16	17	16	17	18	17	16	18	17	18	18	19	18	18	18	19	16	19	18	20	18	18	19	18	18	20	19	20	19	21	21	20	20	19	21	21	21	20	20	21	21	22	22	23	24	21	24	23	24	23	24	23	22	25	25	28	25	27	0	3	0	2	3	2	2	6	5	11	3	0	10	27	12	12	13	13	14	27	12	14	15	12	17	19	12	12	14	27	19	14	25	18	24	15	23	24	23	26	31	31	35	24	12	15	32	18	44	36	46	40	40	39	41	50	50	46	45	42	15	47	47	29	40	45	31	57	55	48	40	41	36	68	39	82	62	40	36	61	37	61	65	72	31	47	41	34	78	74	68	77	77	77	80	63	77	80	86	67	72	0	86	48	93	93	96	97	86	99	55	103	96	113	107	107	1	1	1	1	2	1	2	2	1	1	3	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	1	1	2	1	2	2	1	2	2	2	4	2	1	2	1	2	1	2	1	2	1	2	2	1	1	1	3	1	1	2	1	2	2	1	2	2	2	2	3	1	2	1	1	4	3	1	5	1	1	1	2	2	2	3	1	1	1	1	2	2	2	1	2	2	1	2	3	1	2	2	1	1	2	2	1	1	4	1	2	1	1	2
4500	-627.661643719964331	-634.517131670923732	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.641453353896605	-3	3	2	4	5	6	5	6	5	8	6	7	7	8	9	9	9	10	10	10	10	11	11	11	11	11	10	10	12	12	13	11	14	13	13	13	12	9	14	15	15	15	15	15	14	15	16	16	15	15	15	18	16	13	16	14	16	17	16	16	15	18	18	17	17	17	17	18	18	18	17	18	17	18	18	19	18	20	19	18	19	20	19	19	18	21	21	20	20	20	19	20	20	22	22	19	22	21	22	22	22	24	21	22	22	22	23	23	23	23	22	25	25	28	25	27	0	3	0	2	4	7	3	4	3	13	4	0	6	12	12	12	13	13	14	14	12	14	15	38	13	14	14	12	19	27	27	14	25	18	24	23	15	12	28	21	31	31	12	23	26	38	32	25	35	56	24	55	54	27	31	36	50	46	31	40	45	47	47	54	31	59	42	56	54	34	54	31	50	50	42	61	47	21	56	61	55	81	65	66	42	96	89	34	72	74	73	77	47	77	81	47	93	80	63	69	66	0	96	70	62	93	96	96	86	99	69	103	107	113	108	113	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	2	2	1	2	1	2	2	2	2	2	1	1	1	1	2	2	1	2	4	1	1	2	2	3	1	1	2	1	2	2	2	1	1	1	2	1	1	1	1	2	2	1	1	2	3	2	2	2	1	1	1	2	1	5	2	2	2	1	2	1	2	1	1	3	1	2	2	1	2	2	2	2	1	2	2	2	3	1	1	2	2	1	2	2	1	1	1	2	1	1	1	1
