step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99
1	-4711.404266303424265	-4709.942184218905822	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.353989343512931	-1	1	3	4	5	4	8	7	6	9	8	9	8	10	11	11	12	11	12	12	13	12	12	11	11	13	13	14	14	15	14	14	13	15	14	14	16	15	16	18	14	15	16	15	16	18	15	17	15	15	17	16	16	18	17	17	17	17	17	18	17	18	18	19	18	19	19	18	18	19	19	19	19	20	19	21	22	21	20	20	21	23	21	21	23	21	21	22	24	24	23	23	26	24	25	27	28	29	32	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	3	5	4	4	5	5	5	5	6	6	6	7	6	7	7	7	7	7	6	6	7	7	8	8	8	8	8	7	8	8	8	9	8	9	10	8	8	9	8	9	10	8	9	8	8	9	9	9	10	9	9	9	9	9	10	9	10	10	10	10	10	10	10	10	10	10	10	10	11	10	11	12	11	11	11	11	12	11	11	12	11	11	12	13	13	12	12	14	13	13	14	15	15	17
500	-1197.616028011619619	-1195.148457831742007	-2.467570179877711	0.000010017801780	0.000036656221537	3.659108289557434	0.198928471161518	-1	2	3	3	6	5	6	5	6	9	8	10	9	11	12	11	13	8	12	11	13	11	12	10	10	13	14	14	14	12	12	15	12	14	11	11	13	14	16	17	15	15	15	16	16	19	15	17	16	14	17	17	14	19	18	16	17	14	18	18	17	18	18	17	18	20	20	19	19	19	20	19	20	21	19	22	23	21	20	21	21	22	21	22	23	21	22	22	25	25	23	24	26	25	26	26	28	30	31	0	1	1	2	8	4	3	4	4	6	6	7	6	24	12	12	10	7	9	6	33	4	6	9	18	7	14	25	16	18	18	4	6	33	24	0	18	20	10	4	25	14	18	27	31	18	13	4	35	36	36	38	30	13	35	18	18	30	33	24	35	50	18	53	31	18	43	58	35	37	49	18	37	18	18	50	64	35	41	30	18	3	31	58	18	18	36	31	53	18	18	36	35	18	18	35	57	35	0	1	2	1	1	1	1	2	2	2	2	2	2	2	1	1	1	2	2	2	3	1	5	4	2	2	3	2	2	2	2	2	6	4	1	1	1	2	2	5	7	4	2	5	1	2	7	3	9	4	3	4	2	2	7	5	4	6	1	2	4	4	3	7	2	4	7	1	4	4	3	3	9	5	7	7	6	5	7	3	7	7	11	5	7	9	12	9	5	9	12	9	10	10	11	15	8	10	15	1
1000	-904.147281422283640	-902.020727386330236	-2.126554035953389	0.000010072791141	0.000026956699560	2.676189666127545	0.331338814169513	-1	0	2	3	6	4	7	5	5	8	9	8	8	8	11	11	11	8	12	10	12	12	11	11	11	13	13	14	13	12	11	13	13	15	12	13	16	15	17	18	15	16	14	14	16	19	15	16	15	14	17	16	16	19	18	17	18	17	18	18	16	17	18	18	19	20	20	18	18	19	19	20	19	21	17	22	19	21	20	20	21	24	20	21	23	22	22	22	25	25	23	23	27	24	26	25	28	29	32	0	1	1	2	8	4	3	4	6	9	9	7	9	6	18	7	10	7	11	13	10	6	13	14	18	7	14	15	16	18	18	10	21	20	24	0	15	19	9	11	15	27	31	14	31	18	11	4	35	36	36	38	30	47	35	18	37	43	48	44	35	50	43	43	56	25	45	58	61	75	35	18	30	43	37	50	63	69	70	30	75	31	31	43	31	31	50	57	70	43	65	36	61	57	31	69	73	14	0	1	1	2	2	1	1	3	1	1	1	2	1	2	3	2	2	2	1	2	1	2	3	2	2	2	3	3	2	1	2	2	2	1	4	1	1	3	2	6	4	2	2	2	2	2	7	2	8	2	1	2	1	3	2	4	4	1	2	1	2	2	1	2	3	1	5	2	1	1	1	4	6	6	4	1	4	1	2	1	6	2	7	5	5	7	11	5	3	5	8	3	5	7	3	9	4	4	11	1
1500	-703.892779116515612	-702.197519745711020	-1.695259370804548	0.000010130209877	0.000016043698527	1.583747890849649	0.570238082867978	0	1	4	3	6	4	8	5	6	9	8	10	7	10	9	11	12	12	12	12	14	12	13	12	10	14	12	14	14	14	14	14	13	16	14	13	15	15	16	18	15	16	16	16	16	19	16	17	16	15	17	16	16	19	16	16	17	17	16	17	17	19	18	20	18	20	19	18	19	20	19	19	18	20	18	21	22	22	19	19	22	24	22	21	23	22	22	22	24	24	23	24	26	25	24	27	29	30	33	0	1	1	2	8	4	3	4	6	6	13	7	6	10	7	7	13	15	4	11	20	10	10	14	15	7	14	25	16	18	18	11	11	21	27	0	18	19	32	23	25	14	30	14	31	18	32	21	35	36	36	38	30	40	35	18	30	37	21	42	49	50	53	53	56	41	37	58	61	75	55	45	43	63	56	50	63	61	75	73	75	65	46	68	56	65	50	80	79	88	65	50	69	88	65	78	94	78	0	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	2	1	2	3	2	1	2	3	1	1	2	2	3	1	1	2	3	2	1	1	1	2	1	1	2	3	4	1	2	2	4	1	2	1	1	3	1	1	1	1	2	2	1	1	1	1	2	2	2	1	2	2	1	1	2	3	2	1	2	1	3	2	3	1	1	2	6	1	1	3	3	4	2	3	1	1	6	4	2	4	3	2	6	1
2000	-631.363980537474049	-629.501897782658261	-1.862082754815804	0.000010160442367	0.000020238046901	1.991847024894358	0.571134137029066	-1	1	3	3	6	5	7	5	6	10	9	9	8	10	10	11	13	11	12	12	14	11	12	12	11	12	13	15	14	13	14	14	12	16	14	14	16	15	16	18	14	14	17	16	16	18	15	15	16	15	16	17	15	18	17	17	17	17	16	18	18	18	18	19	18	19	19	19	18	20	19	20	19	20	19	22	22	22	20	20	21	23	21	21	24	21	21	23	23	25	21	24	23	25	26	27	29	29	31	0	1	1	2	8	4	3	4	4	13	4	7	6	9	7	12	11	15	11	6	33	4	10	14	15	7	14	15	16	18	18	10	11	33	27	0	18	19	23	47	15	14	30	42	31	31	20	33	35	36	36	22	30	32	49	37	53	53	33	27	49	50	53	30	31	41	31	58	49	75	55	56	43	63	37	62	63	69	75	57	70	91	37	68	72	70	62	80	79	88	65	50	69	88	91	78	94	93	0	1	1	3	2	1	1	2	1	2	1	3	1	1	3	2	1	2	1	2	4	1	3	1	1	1	2	2	2	2	1	2	2	2	2	1	1	2	2	2	1	1	2	2	1	2	2	1	3	2	1	1	2	2	3	1	1	1	2	2	3	1	2	2	3	2	2	2	1	1	1	1	2	1	1	1	2	3	2	1	2	1	1	3	1	2	1	2	2	2	1	1	5	2	1	2	3	2	3	1
2500	-643.168992659462447	-641.314451409187768	-1.854541250274677	0.000010298687360	0.000020320454968	1.973111160371709	0.656271245969813	0	2	3	4	6	5	8	5	5	9	8	10	7	10	10	10	13	11	11	13	14	12	11	12	12	13	12	14	13	13	14	15	13	16	13	14	17	15	15	18	14	15	16	16	17	17	15	16	15	15	16	16	16	18	15	16	16	17	16	18	17	19	17	18	19	16	20	18	18	20	19	19	19	20	18	22	23	21	20	21	22	24	21	20	23	20	20	22	24	24	22	24	25	24	26	26	27	30	32	0	1	1	2	8	4	3	4	4	11	6	7	9	11	7	7	13	15	10	10	33	11	11	14	15	12	14	25	16	18	18	20	23	33	14	0	31	19	9	39	25	14	30	27	18	18	20	33	35	36	36	19	30	39	35	18	30	53	21	44	49	50	43	30	56	41	31	58	61	75	55	56	53	63	37	62	63	49	75	73	70	91	37	68	72	75	62	80	79	88	65	87	69	88	91	78	94	78	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	3	1	1	2	1	2	2	1	2	1	2	2	2	1	2	1	1	2	1	1	2	2	4	1	1	2	2	2	3	2	1	1	1	1	1	2	2	1	2	3	2	1	2	1	1	2	1	2	1	2	3	1	1	2	2	1	1	2	1	1	4	3	2	2	1	2	1	1	1	1	1	1	2	1	1	2	2	1	2	2	1	5	1
3000	-639.775337776246488	-638.274646662341297	-1.500691113905227	0.000010483903866	0.000011570350654	1.103629983850475	0.645483706182792	0	1	3	3	5	5	8	4	6	8	9	9	8	10	11	12	12	12	12	11	14	12	12	11	12	12	13	13	15	14	15	14	12	16	13	13	15	16	16	17	15	14	17	16	17	18	15	18	15	14	17	14	15	19	17	17	17	17	17	18	18	18	18	20	19	19	19	18	18	20	19	19	20	19	19	20	22	22	20	20	21	24	21	21	23	22	21	22	23	24	22	23	25	25	26	27	29	30	32	0	1	1	2	8	4	3	4	4	6	6	7	6	13	12	12	13	7	10	13	33	11	4	14	15	12	14	15	16	18	18	20	9	33	14	0	18	52	32	23	25	14	53	42	37	18	13	21	27	36	36	19	30	40	35	18	30	30	21	27	49	50	30	43	37	41	31	58	49	75	55	56	57	63	56	50	63	69	75	57	75	91	31	68	46	75	76	80	79	88	65	87	78	80	91	93	94	96	0	1	1	2	1	1	1	3	1	1	2	2	1	1	1	1	2	1	2	3	1	1	2	3	1	1	2	2	1	2	2	2	1	3	2	2	1	2	2	1	3	2	2	1	2	1	4	3	2	2	1	2	1	1	1	1	3	2	1	2	2	2	2	1	3	2	1	2	1	1	1	1	1	2	1	2	2	3	2	1	2	1	2	3	2	2	2	1	1	1	2	1	1	1	2	2	1	2	1	1
3500	-615.925861291665797	-614.157501450661130	-1.768359841004662	0.000010565294014	0.000018607780351	1.761217465932567	0.656872437774057	0	1	3	2	6	5	9	5	6	10	8	10	8	10	12	11	13	11	11	12	13	12	11	12	10	12	13	13	15	12	14	14	12	15	13	13	16	14	16	17	13	16	16	16	14	19	15	16	15	15	18	17	15	17	18	17	17	17	17	19	17	19	18	19	18	19	18	18	19	20	20	19	20	21	19	20	21	22	21	20	21	23	22	21	23	21	21	22	23	25	22	24	24	24	26	27	28	29	33	0	1	1	2	8	4	3	4	4	13	9	7	6	11	25	7	23	7	10	23	33	11	13	14	7	12	14	25	16	18	18	10	11	33	14	0	18	19	23	32	25	14	30	27	18	67	20	21	35	36	36	19	30	48	61	31	43	30	48	44	49	50	43	43	56	41	37	58	61	75	55	37	57	63	65	50	63	69	75	57	70	91	37	68	72	75	76	80	79	88	65	87	69	57	82	93	94	96	0	1	1	1	1	1	1	2	2	2	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	2	2	2	1	2	2	2	2	2	1	3	2	2	1	1	3	3	1	2	1	1	2	1	1	2	2	2	1	1	1	1	2	1	2	2	2	1	1	1	3	1	1	1	1	1	2	2	2	1	2	1	2	1	2	1	1	2	1	2	1	1	2	1	2	2	2	2	4	2	1	2	1	1
4000	-613.448398797084224	-611.840321065254443	-1.608077731829798	0.000010734294910	0.000014730861062	1.372317528565296	0.663757823447504	-1	1	3	3	5	4	7	7	5	9	9	9	7	11	12	10	12	11	13	13	14	11	12	12	10	13	14	15	14	15	13	14	13	16	14	13	16	15	15	17	14	15	17	16	17	16	15	17	16	15	15	17	16	17	16	17	17	17	17	18	18	18	18	19	18	20	18	18	19	20	17	17	19	20	19	20	22	22	21	21	21	24	20	19	22	22	21	23	24	25	21	24	26	23	25	27	28	29	31	0	1	1	2	4	4	3	5	4	13	6	7	6	13	25	12	10	25	10	22	33	11	22	14	7	12	14	15	16	31	18	23	6	33	14	0	18	19	20	20	25	14	30	27	37	31	23	33	35	36	36	38	30	23	35	37	30	30	34	42	49	50	43	30	37	41	31	58	49	75	55	31	57	63	65	50	63	69	75	57	70	91	67	68	72	70	76	80	79	88	65	87	69	80	91	78	94	96	0	1	1	2	1	1	1	2	1	1	2	2	1	2	2	1	1	2	1	2	1	1	1	1	1	1	2	2	1	2	1	1	1	5	2	1	1	2	2	1	1	2	2	2	1	1	2	2	2	1	1	1	2	1	1	1	1	1	1	1	2	2	1	1	2	1	5	3	1	1	1	1	2	1	2	1	2	1	2	1	2	1	3	1	1	2	2	1	1	2	1	1	2	3	1	2	2	3	1	1
4500	-609.432483976832941	-607.707081895964734	-1.725402080868203	0.000012323509044	0.000020417245753	1.656772083427180	0.679455348184079	-2	0	2	3	5	5	8	8	6	10	8	9	8	9	12	11	12	11	12	12	14	12	13	11	10	12	13	13	14	15	14	15	10	15	14	13	16	16	16	17	15	14	16	16	17	19	16	16	15	15	17	16	17	18	17	17	17	17	17	18	17	18	18	20	18	18	18	18	19	19	19	20	19	20	18	22	22	22	20	20	22	24	19	20	22	20	20	22	25	24	21	23	25	24	25	27	29	30	32	0	1	1	2	4	4	3	5	4	11	6	7	6	9	25	7	11	25	13	13	33	6	10	14	7	7	14	15	16	15	18	20	11	21	27	0	31	19	10	32	15	14	31	42	31	67	10	33	35	36	36	19	31	52	35	37	30	30	34	44	35	50	43	53	56	41	37	58	61	75	55	56	57	63	56	62	63	69	70	73	70	91	56	68	72	75	62	80	79	80	65	87	78	88	91	78	94	93	0	1	1	1	1	1	2	4	2	2	1	2	1	1	1	1	1	2	1	2	2	2	3	1	2	1	2	2	1	1	1	2	1	1	1	1	1	1	2	3	1	2	3	1	1	2	1	2	2	1	1	2	2	2	1	2	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	2	1	1	1	2	2	2	1	1	1	2	1	1	1	2	1	2	3	2	1	2	2	2	2	2	2	3	1
