step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	Tinf_113	Tinf_114	Tinf_115	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	alpha_113	alpha_114	alpha_115	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112	kappa_113	kappa_114	kappa_115
1	-5269.549580038325075	-5268.087497953806633	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.766108359325808	-1	0	2	2	3	3	6	6	10	7	12	10	10	10	12	12	12	12	12	14	12	13	13	13	13	14	14	14	15	15	16	15	16	18	18	16	15	16	15	16	18	16	17	17	17	18	18	18	17	17	18	19	19	19	19	19	18	20	20	19	21	20	20	21	22	23	21	22	23	22	23	24	24	23	25	24	24	23	23	23	26	24	25	25	26	25	26	27	28	26	28	28	28	28	28	28	32	34	33	33	34	34	34	35	35	38	37	39	38	38	40	43	43	45	47	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	4	4	6	4	7	6	6	6	7	7	7	7	7	8	7	7	7	7	7	8	8	8	8	8	9	8	9	10	10	9	8	9	8	9	10	9	9	9	9	10	10	10	9	9	10	10	10	10	10	10	10	11	11	10	11	11	11	11	12	12	11	12	12	12	12	13	13	12	13	13	13	12	12	12	14	13	13	13	14	13	14	14	15	14	15	15	15	15	15	15	17	18	17	17	18	18	18	18	18	20	19	20	20	20	21	22	22	23	24
500	-1510.029820933715655	-1508.293563653936644	-1.736257279779015	0.000010025370006	0.000016873834678	1.683113407977469	0.200382733787861	-2	0	1	2	3	4	6	6	7	7	9	9	10	10	10	12	11	11	11	14	12	12	11	13	11	14	14	14	15	16	15	14	16	18	19	14	15	13	16	16	19	15	18	17	18	19	18	19	17	18	18	20	20	18	16	19	17	18	20	19	21	18	20	21	22	22	22	22	22	22	23	25	25	23	25	24	24	23	24	20	26	24	26	24	25	23	26	28	28	27	29	28	27	29	29	28	33	34	33	34	34	35	35	36	35	39	38	39	38	39	41	44	44	45	48	0	1	1	2	4	5	3	1	7	3	9	10	11	12	3	11	13	12	11	12	0	14	9	16	12	18	18	38	17	23	16	16	28	12	26	18	12	8	28	31	26	36	27	28	28	25	36	27	55	42	42	37	54	26	38	28	15	28	58	25	62	19	57	38	45	34	62	45	11	33	38	64	38	69	62	39	11	38	38	55	10	38	84	8	57	38	80	25	55	38	67	38	80	38	38	38	15	55	80	64	38	38	38	87	80	90	38	80	86	86	80	80	86	80	80	1	1	1	1	1	1	2	4	1	3	1	1	1	1	6	2	1	2	1	3	1	1	2	1	1	2	2	1	3	3	2	1	1	6	2	1	3	5	2	1	5	1	2	2	2	6	3	2	1	3	2	3	1	2	2	2	4	2	1	4	2	3	2	5	3	2	2	2	8	3	8	1	8	1	4	5	8	7	8	4	13	5	1	11	5	10	5	11	9	9	4	11	3	10	13	11	14	12	11	11	14	16	14	6	13	11	16	17	10	9	15	21	14	20	22
1000	-1211.734301585047433	-1209.944961280220014	-1.789340304827425	0.000010072531511	0.000018256147035	1.812468594927650	0.227050038662718	-3	-2	1	1	4	3	7	6	10	7	9	9	11	11	12	11	12	11	12	14	12	13	12	13	14	14	14	15	15	16	15	15	16	17	17	16	15	16	12	16	18	16	17	16	17	17	18	18	16	17	19	19	19	20	19	19	17	20	20	19	21	20	20	19	22	20	18	21	24	23	21	24	23	24	26	21	25	21	23	20	27	24	25	25	26	25	26	28	28	23	28	28	27	28	29	29	32	34	34	33	35	34	34	36	36	38	38	40	37	38	40	44	44	46	48	0	1	1	2	4	2	3	3	8	3	7	10	11	12	9	11	13	12	11	14	0	14	9	16	14	18	18	11	17	23	24	16	11	25	26	37	18	39	11	31	35	26	27	39	39	25	36	37	39	42	42	43	35	41	39	38	39	57	38	34	57	28	28	38	59	46	49	39	45	38	63	64	64	67	59	55	61	49	57	28	34	71	65	49	69	80	80	66	9	80	78	67	86	82	90	7	28	84	80	80	80	67	78	86	80	86	78	90	90	86	86	80	90	90	90	1	1	3	2	2	3	2	2	2	2	1	1	1	1	2	1	1	1	1	2	1	2	1	1	2	2	2	2	2	3	1	2	3	2	1	1	2	2	2	1	1	1	2	2	2	2	1	2	2	1	2	1	1	1	3	1	2	2	3	1	2	3	2	2	2	1	1	4	4	3	1	2	3	3	2	1	2	3	3	3	8	1	2	6	1	4	3	7	8	3	5	6	1	3	4	11	13	5	11	10	11	12	9	6	12	10	13	15	10	5	11	19	13	16	17
1500	-1019.189129085171544	-1017.701284487219255	-1.487844597952257	0.000010103125855	0.000010808750748	1.069842235271829	0.338212362163142	-2	0	2	2	3	4	5	5	9	7	10	10	10	11	12	11	12	12	13	15	12	13	13	14	13	13	14	14	16	14	15	15	17	18	16	16	16	16	16	16	17	17	17	16	17	18	19	18	18	18	19	19	19	19	18	19	18	19	20	19	22	21	21	21	23	22	21	22	22	22	22	24	24	24	26	23	25	22	24	20	27	25	25	23	25	22	26	27	27	26	28	27	28	29	27	28	32	35	34	33	31	35	34	36	36	39	36	40	38	38	40	44	44	45	48	0	1	1	2	4	5	3	3	8	3	8	10	9	12	9	11	13	12	13	12	0	14	9	16	12	18	18	11	17	23	24	16	19	25	26	26	27	11	15	31	35	36	27	28	28	25	36	37	44	42	42	43	41	41	44	45	44	38	57	46	55	57	55	45	57	46	45	39	45	63	62	80	38	67	83	38	62	67	38	39	66	71	39	78	69	80	80	66	70	86	84	84	90	71	87	84	80	96	86	86	80	84	92	101	86	80	84	86	93	100	97	87	101	87	100	1	1	2	2	1	1	1	3	2	2	3	1	1	1	2	1	1	1	2	3	1	1	2	2	1	1	2	2	2	1	1	2	3	2	2	2	1	3	3	1	1	1	2	1	2	3	2	1	1	1	1	1	1	1	2	1	1	3	1	1	3	2	2	1	2	2	3	3	3	1	1	2	3	1	1	2	2	1	3	2	4	2	4	1	2	1	3	3	3	2	4	2	1	3	1	4	10	5	9	9	8	8	6	4	12	12	7	14	7	3	7	11	8	13	11
2000	-891.868953898504856	-890.393550253967533	-1.475403644537351	0.000010090737611	0.000010459170301	1.036511968118417	0.361454761583893	-1	0	1	2	3	4	5	5	9	7	13	9	11	11	13	12	13	13	11	14	12	14	12	14	14	14	15	12	14	15	16	16	14	16	17	15	16	16	15	17	18	16	18	18	17	19	18	18	17	18	19	19	20	20	19	18	18	20	21	19	21	20	20	21	19	22	21	21	24	22	24	25	24	23	25	24	25	23	22	20	26	25	26	24	27	22	26	27	28	27	28	29	29	28	29	25	32	34	33	34	32	35	34	35	35	39	37	40	38	39	41	44	43	46	48	0	1	1	2	2	5	3	3	7	7	19	7	9	12	19	19	13	14	9	12	0	14	9	16	14	18	18	19	17	23	24	24	19	25	37	26	18	28	28	31	35	36	27	33	28	34	36	37	28	42	42	37	41	41	28	11	39	39	58	34	39	39	45	65	39	46	49	55	62	63	58	64	56	67	45	63	62	67	57	56	66	71	57	78	79	80	80	66	82	86	84	84	90	71	90	84	86	96	86	86	90	96	96	100	86	86	96	80	101	101	101	101	106	97	97	1	1	1	1	2	1	3	2	3	1	2	1	1	1	1	1	2	1	1	3	1	1	1	1	2	1	2	1	1	2	1	1	2	1	1	1	3	2	1	1	1	1	1	2	2	2	2	1	3	1	2	1	2	1	3	3	2	2	1	1	2	2	2	1	2	2	2	1	2	1	2	2	3	2	5	2	3	1	2	1	2	1	4	1	3	1	4	2	2	3	3	2	1	3	2	1	8	5	7	9	4	7	5	1	10	10	6	12	3	3	6	7	2	10	9
2500	-794.556158360177278	-792.979064015208337	-1.577094344968911	0.000010241649773	0.000013277158768	1.296388673890357	0.466165023321773	-2	0	1	2	3	4	6	4	9	7	10	9	11	11	13	12	13	12	12	13	12	14	11	13	14	14	15	14	15	16	15	16	15	16	17	15	15	17	15	16	18	16	16	18	16	19	19	18	17	17	18	20	20	19	19	18	18	20	20	20	21	19	20	21	22	23	21	23	23	23	22	25	23	23	24	23	24	23	22	22	26	24	26	25	26	23	27	27	28	26	29	28	29	27	28	27	31	34	34	33	34	35	35	35	35	39	37	40	38	38	41	43	43	46	46	0	1	1	2	4	5	8	3	8	8	9	10	11	12	9	11	13	14	11	12	0	14	9	11	14	18	18	11	13	23	24	16	11	25	26	26	18	39	28	31	35	36	37	45	39	34	36	37	39	42	42	37	41	41	39	39	39	38	55	34	57	28	57	55	38	46	49	58	79	63	58	80	64	67	55	55	58	67	55	64	66	71	75	78	69	80	80	81	82	86	84	84	86	71	90	84	86	96	97	86	97	96	96	100	90	93	98	90	101	101	101	100	106	97	111	1	1	1	1	1	1	1	1	3	2	1	1	1	2	2	1	1	1	1	2	1	2	1	2	2	1	2	2	2	3	1	2	2	1	1	1	3	2	1	1	1	1	1	1	1	2	2	2	2	1	1	2	1	1	2	2	2	3	1	2	2	3	1	1	2	2	2	2	1	2	1	2	1	1	2	2	2	1	1	1	2	1	1	2	2	1	3	1	2	2	2	2	2	3	1	1	5	4	2	7	3	7	5	2	6	7	1	10	3	2	5	6	2	10	3
3000	-782.978833909203445	-781.400793892735805	-1.578040016467688	0.000010456351797	0.000013579855984	1.298718353044379	0.499946586442140	-1	1	3	2	3	4	7	6	9	5	10	10	11	11	12	12	12	11	13	15	12	14	12	13	13	14	15	14	15	13	15	15	16	16	17	15	15	16	15	16	18	16	18	18	17	19	18	18	17	17	18	18	19	19	20	18	18	20	20	19	21	21	21	21	22	23	21	22	24	22	23	24	24	24	26	24	24	23	23	23	26	25	24	25	26	24	27	28	27	26	29	27	26	29	29	28	30	34	31	33	32	35	34	34	34	39	37	40	39	38	40	44	44	45	47	0	1	1	2	4	5	3	3	3	3	8	10	11	12	7	11	13	12	11	12	0	12	9	16	12	18	18	11	17	15	24	24	11	25	26	26	18	39	9	31	35	36	37	45	28	34	36	37	39	42	42	27	41	41	38	39	28	38	44	34	56	45	39	56	45	46	58	63	79	38	63	64	57	67	65	63	44	67	59	64	66	71	65	78	79	80	80	81	71	86	84	84	86	89	86	84	90	96	97	97	93	96	96	100	86	93	98	97	101	101	101	111	109	101	109	1	1	2	1	1	1	2	2	3	1	2	2	1	1	2	1	1	1	2	3	1	2	2	1	2	2	3	3	2	1	1	1	3	1	1	1	2	1	2	1	1	1	2	1	1	3	2	1	1	1	1	2	1	1	2	2	3	2	1	1	1	2	4	1	2	2	1	1	1	3	1	2	2	3	2	2	3	1	2	1	2	2	1	1	3	1	2	1	2	1	2	2	1	1	3	1	2	4	1	3	3	6	3	1	5	7	1	5	3	3	4	2	3	9	4
3500	-748.418219097597444	-746.924870960505473	-1.493348137091917	0.000010665754004	0.000011565816685	1.084388096695342	0.551987194098631	-1	1	3	2	3	4	7	5	9	7	13	9	10	10	10	11	12	11	12	14	12	14	12	13	13	14	15	15	16	15	15	15	16	17	16	15	15	16	14	17	18	17	18	18	18	19	18	18	17	18	19	19	20	20	19	19	18	19	19	20	21	20	20	20	22	24	21	22	23	22	24	22	24	23	26	24	22	23	24	23	27	24	24	25	27	24	26	27	28	27	29	29	28	28	28	26	32	35	33	33	34	35	34	35	34	38	37	40	36	39	39	42	43	45	47	0	1	1	2	2	5	8	3	8	3	9	10	9	12	9	15	13	12	13	14	0	12	15	16	12	18	18	39	11	23	24	24	19	25	26	26	18	39	19	31	35	36	37	39	28	34	36	27	38	42	42	27	41	41	38	39	38	38	28	34	57	38	56	59	59	46	62	62	45	63	70	64	64	67	83	63	44	67	62	72	66	77	65	67	61	80	80	66	71	86	84	84	86	71	90	67	86	96	97	93	97	96	96	105	100	101	102	101	101	109	97	106	111	109	111	1	2	2	1	1	1	1	1	3	2	2	1	1	1	1	1	1	1	1	2	1	2	2	1	2	1	2	1	2	2	1	1	2	2	2	1	3	1	1	1	1	2	1	2	2	1	2	1	1	1	1	1	1	1	2	2	1	2	2	1	2	3	1	1	2	3	1	1	2	2	2	1	2	1	2	2	2	1	2	1	2	1	1	2	3	1	2	2	2	2	2	2	2	2	1	2	4	3	1	3	2	6	4	1	1	3	1	4	1	1	3	2	2	7	5
4000	-704.745443298832811	-703.333345672921041	-1.412097625911780	0.000010853536689	0.000009228042337	0.850233670493172	0.699136057739802	-1	0	2	2	2	3	6	6	8	7	13	10	10	11	11	12	13	12	11	15	13	13	13	13	13	13	14	14	15	14	16	15	15	17	18	15	16	16	15	17	19	16	18	17	18	19	18	18	17	17	18	19	20	20	19	19	18	19	19	20	22	20	20	20	23	23	20	22	22	22	23	21	23	24	25	24	23	23	23	22	26	25	24	25	27	25	26	28	28	26	29	28	29	29	28	27	30	33	34	32	34	34	34	35	35	38	35	39	37	39	40	43	42	45	48	0	1	1	2	2	5	3	3	7	7	19	10	9	12	9	19	15	14	13	14	0	12	15	16	12	18	18	11	17	23	16	16	11	25	26	26	27	28	28	31	35	36	27	28	39	34	36	37	28	42	42	43	41	41	38	38	28	39	38	34	45	38	59	28	45	34	58	57	44	63	70	64	64	67	83	70	56	67	69	72	66	71	77	78	61	80	80	81	82	86	84	84	90	71	90	84	90	96	93	93	97	96	96	100	100	109	102	97	101	109	109	111	111	109	114	1	1	1	1	1	1	2	3	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	2	1	1	1	2	2	2	2	2	1	2	1	1	1	1	1	2	2	2	1	2	1	1	1	1	1	1	1	2	1	2	2	2	2	2	3	1	3	3	2	1	3	2	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	2	2	1	4	1	1	2	2	1	1	2	5	3	2	2	1	1	5	1	2	2	2	1	6	1
4500	-693.960450595906423	-692.598462165232604	-1.361988430673789	0.000013553484706	0.000008201005451	0.605084642709944	0.540164069967245	-2	0	1	3	2	3	5	7	10	8	12	10	8	11	12	11	12	11	13	15	13	14	13	13	14	14	15	14	14	15	16	16	15	18	17	15	15	17	12	17	18	16	16	16	18	19	18	19	18	18	18	19	19	20	19	19	18	20	21	19	21	19	20	21	22	24	21	23	23	23	22	22	23	23	26	24	25	22	22	23	26	25	25	24	26	25	26	28	28	26	27	29	28	28	28	28	32	34	33	33	34	34	34	34	35	38	38	39	36	38	40	43	44	45	47	0	1	1	2	2	5	3	3	10	7	16	10	8	12	9	13	13	12	11	14	0	14	15	16	12	18	18	39	17	23	24	24	11	25	26	26	18	28	10	31	35	36	18	28	28	34	36	27	38	42	42	43	41	41	28	39	28	44	45	34	38	44	56	57	45	34	49	59	79	63	63	64	62	67	83	63	70	67	45	72	66	71	68	78	56	80	80	81	70	86	84	84	90	82	87	91	93	96	97	97	97	96	96	100	100	109	98	101	101	101	109	111	111	101	114	1	1	1	1	1	1	2	3	1	2	1	1	1	1	1	1	2	1	1	2	1	2	1	2	2	1	2	1	1	2	2	2	2	2	1	1	2	2	2	1	1	1	4	1	2	1	1	2	1	1	2	2	1	1	3	3	2	2	1	1	2	1	1	2	2	2	2	2	1	2	1	1	2	2	1	1	1	1	2	1	2	2	1	1	3	1	3	2	2	1	2	2	1	2	1	1	3	2	1	1	2	3	3	1	1	1	2	2	1	2	2	2	1	5	1
