step	post	like	prior	mu1	mu2	gamma	pi	spa1	spa2	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	Tinf_113	Tinf_114	Tinf_115	Tinf_116	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	alpha_113	alpha_114	alpha_115	alpha_116	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112	kappa_113	kappa_114	kappa_115	kappa_116
1	-3772.810619949616466	-3771.348537865097569	-1.462082084518882	0.000050000000000	0.000050000000000	1.000000000000000	0.395271596969510	0.000000000000000	0.000000000000000	0	3	2	2	6	9	10	12	10	12	12	15	13	13	14	14	13	14	17	14	15	15	15	17	16	18	16	18	17	17	16	19	18	18	19	18	17	19	19	19	19	19	18	18	18	18	18	21	21	21	21	20	21	20	20	20	21	21	21	21	20	20	21	22	20	22	21	21	21	22	22	21	22	22	22	22	22	23	23	23	22	23	22	23	23	23	22	24	25	24	23	24	26	25	26	24	24	26	24	24	27	27	26	25	27	27	28	28	28	28	29	30	31	32	35	37	0	1	1	1	3	1	6	6	6	7	9	9	9	9	11	13	11	7	13	9	15	13	16	31	16	37	18	19	22	23	13	31	29	21	30	37	17	37	28	36	24	29	30	31	21	37	30	38	34	44	44	37	42	36	28	34	34	44	30	27	24	24	42	30	37	42	36	62	34	32	47	55	65	51	58	50	42	30	62	36	65	36	48	42	60	61	30	50	79	82	68	84	83	92	30	65	84	82	30	30	92	92	89	82	100	100	6	101	99	6	99	110	112	113	6	115	1	2	1	1	2	5	1	2	1	1	1	3	2	2	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2	2	2	2	1	1	1	1	2	2	2	3	2	2	1	3	2	2	2	1	2	2	2	1	1	1	1	1	2	3	2	3	1	3	1	2	1	2	3	2	1	1	1	1	2	1	5	2	1	2	4	4	2	2	1	1	2	2	10	1	2	10	3	1	1	1	13	1
500	-2409.686812725998607	-2408.325305319431664	-1.361507406566859	0.000050036959876	0.000027230101718	0.544199763255450	0.910382368046972	0.000000000000000	0.000000000000000	1	2	3	3	6	9	10	12	10	12	12	14	13	12	13	14	14	14	15	14	15	15	16	17	15	16	16	18	17	18	17	19	18	19	19	18	18	20	19	19	19	19	17	18	17	18	19	21	20	21	21	19	21	21	20	20	21	21	21	20	21	20	21	22	20	22	21	21	22	22	20	21	22	22	22	22	23	21	24	23	22	23	22	23	22	24	21	25	25	25	23	24	26	26	25	24	24	27	24	24	27	27	26	25	27	26	29	28	27	28	30	29	31	32	35	37	0	1	2	0	3	0	6	6	6	7	9	14	9	9	11	13	11	10	13	14	15	13	16	19	16	17	18	19	22	43	19	31	29	45	43	26	26	37	28	36	24	29	23	31	21	26	30	38	45	44	44	46	42	40	39	45	34	44	35	27	24	24	42	59	52	63	36	62	57	32	47	55	65	51	58	50	66	30	62	67	65	67	48	63	60	61	35	76	79	82	68	84	83	92	78	81	84	82	59	78	92	92	89	82	106	100	0	101	99	0	99	110	112	113	0	115	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	3	1	1	1	1	1
1000	-2378.892109088306370	-2377.476654154083462	-1.415454934222861	0.000050055103576	0.000043111021559	0.861271248675024	0.986161884110567	0.000000000000000	0.000000000000000	0	2	3	2	6	9	11	11	11	13	12	16	13	13	13	14	14	14	15	13	16	15	16	17	17	16	17	18	17	17	17	19	18	18	19	18	17	19	20	19	19	19	18	18	19	18	18	21	20	21	21	19	22	20	20	20	22	21	21	21	20	19	21	23	20	21	22	21	21	22	21	21	21	22	22	23	23	23	22	24	22	23	22	23	23	21	22	25	24	24	23	24	25	25	26	24	25	27	24	24	27	25	26	25	26	27	29	29	28	28	29	30	31	33	36	37	0	1	2	0	3	0	6	6	6	7	9	14	9	9	11	13	11	7	13	9	15	13	16	19	16	17	18	19	22	23	19	31	29	21	43	26	26	46	28	36	24	29	30	31	34	37	30	38	45	44	44	37	63	40	28	45	49	44	35	27	41	24	42	59	52	42	40	62	49	32	47	55	65	51	58	50	66	59	62	67	73	67	48	66	60	61	30	76	79	82	68	84	83	92	78	81	84	82	78	87	92	92	89	82	100	100	0	101	99	0	99	110	112	113	0	115	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-2324.813005870850702	-2323.451495480539961	-1.361510390310642	0.000049942212284	0.000029796973958	0.596629035758225	0.988627547745060	0.000000000000000	0.000000000000000	0	1	2	2	5	9	10	12	11	13	13	16	13	13	14	14	14	15	15	14	16	15	15	17	16	15	17	17	17	17	17	19	18	19	19	18	17	19	19	20	19	19	18	19	18	18	18	21	22	21	21	20	21	21	19	20	20	22	21	20	19	20	21	23	21	22	21	21	21	21	21	21	23	22	21	22	23	23	23	23	22	23	23	22	22	23	23	24	25	25	23	24	26	25	25	24	25	25	25	24	27	26	27	25	27	27	27	28	27	28	29	29	31	32	34	37	0	1	2	0	3	0	6	6	6	7	9	14	9	9	11	13	11	10	13	9	15	13	16	19	16	17	18	19	22	23	19	31	29	45	43	26	26	37	28	36	24	29	30	31	21	37	30	38	56	44	44	46	42	40	28	45	45	75	43	27	24	41	42	59	52	63	36	62	57	32	47	55	81	51	44	50	63	59	62	67	65	67	48	42	60	61	59	76	79	82	68	84	83	92	78	65	92	82	64	78	92	92	89	82	100	100	0	101	99	0	99	110	112	113	0	115	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.886916116051837	0.000050788750295	0.000104309811342	2.053797558260074	0.351845866324915	0.000000000000000	0.000000000000000	7	1	1	1	8	9	-1	11	11	14	5	17	8	9	15	4	14	-5	5	2	19	9	9	14	20	17	16	0	5	10	5	12	8	19	15	12	11	17	16	3	20	7	9	17	15	3	5	-2	9	2	5	1	-4	6	22	14	12	23	4	1	9	5	9	8	19	13	4	14	12	1	13	12	11	9	8	2	19	22	12	6	3	6	7	13	4	19	17	13	0	14	20	11	15	-1	4	11	16	15	2	20	16	5	5	1	5	3	26	0	-1	26	20	13	0	6	31	16	40	67	40	0	51	0	114	68	37	94	77	26	75	52	44	43	33	89	7	40	79	95	40	62	92	27	108	109	43	7	48	68	89	31	4	39	43	82	108	76	71	30	6	109	28	108	67	23	32	94	4	4	85	60	6	89	53	101	94	109	24	31	35	4	84	12	4	2	82	76	12	64	96	87	86	11	18	71	19	59	95	104	53	18	19	86	73	79	48	31	58	24	73	40	75	48	25	54	2	12	5	18	3	7	76	40	0	4	114	0	80	81	18	95	0	113	1	2	2	1	1	1	6	6	7	4	1	2	7	4	10	7	1	2	5	2	1	4	1	2	6	6	1	4	4	1	2	7	6	10	1	11	2	5	4	7	1	6	3	5	3	6	5	5	1	10	4	1	10	9	3	1	11	1	1	2	2	2	1	2	10	1	7	4	1	4	3	10	1	14	4	1	2	9	7	4	2	3	5	2	6	1	7	7	9	5	8	5	6	5	6	12	4	1	2	9	3	2	2	2	2	2	1	2	4	1	5	4	1	6	1	9
2500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.684204713578559	0.000053684933695	0.000083587026143	1.556992258153507	0.161194961150746	0.000000000000000	0.000000000000000	-5	0	3	1	4	-5	0	0	-4	-2	5	10	-4	16	11	8	-6	0	14	0	6	2	-6	-4	-2	7	13	1	-1	-5	13	6	1	-5	3	2	-1	-6	-3	9	-2	-5	-2	7	16	-1	-5	5	6	11	-4	1	2	-3	18	4	7	13	-2	21	1	-2	9	0	-5	-1	6	3	3	4	11	8	-1	-4	7	-1	-5	15	-4	3	7	2	2	5	5	-2	0	10	-2	-5	4	-1	3	-5	11	3	-3	-3	1	5	-2	8	7	4	5	0	16	6	3	29	-4	-2	-3	6	22	-2	8	67	6	0	66	0	37	109	4	67	88	31	37	95	47	87	105	31	53	16	73	85	56	87	101	28	26	51	27	90	66	62	43	49	82	51	63	99	91	23	90	4	10	114	109	34	44	60	26	31	87	74	35	71	69	77	98	108	48	33	90	78	73	83	89	103	114	95	116	97	97	114	20	42	12	51	114	42	106	89	77	109	77	15	51	101	109	14	84	11	66	59	102	61	79	10	48	28	58	5	82	98	66	1	94	77	0	56	8	0	16	22	85	7	0	101	1	6	1	1	2	1	9	3	3	7	9	1	9	3	11	1	7	9	8	2	5	2	13	2	11	10	2	10	1	11	9	6	11	3	4	13	6	11	5	5	7	1	3	1	3	4	14	7	1	11	14	9	11	13	10	7	1	6	3	2	3	10	2	5	3	8	15	4	5	6	4	13	8	14	9	4	2	2	3	5	15	10	1	6	4	10	16	11	4	8	1	12	4	7	2	12	9	3	2	7	7	5	5	7	12	13	1	4	11	1	9	11	7	4	1	1
3000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.502581391610859	0.000060565690462	0.000067140397879	1.108554981651566	0.147640049471021	0.000000000000000	0.000000000000000	4	5	-1	-5	-1	7	7	16	-2	11	0	3	2	1	-5	12	-1	-5	-3	3	-3	-2	3	-4	-6	12	4	7	0	3	-6	-5	-2	-1	9	18	-4	19	-3	13	-6	7	-6	-6	0	-2	14	6	0	4	-3	-2	1	0	-6	0	-6	6	-3	-1	6	10	7	13	4	-2	-1	-3	7	1	11	-3	5	17	20	-3	-3	6	14	-3	0	3	12	-2	4	0	-4	-5	15	-1	-6	6	-4	1	6	-6	7	4	13	3	-3	3	0	6	13	-4	20	7	0	23	13	-1	-5	1	34	11	46	100	51	0	109	0	10	12	49	9	95	38	30	11	13	16	5	37	70	11	6	79	2	40	64	66	112	62	6	41	10	10	8	68	11	78	36	7	57	99	92	29	33	116	29	42	31	96	88	56	104	29	73	102	59	65	23	5	38	19	105	13	114	88	113	40	83	102	82	102	59	35	50	86	38	90	49	62	76	54	109	20	43	8	35	30	101	42	108	81	19	2	43	6	22	26	97	3	43	103	85	101	63	8	23	11	0	46	3	0	88	24	10	26	0	75	2	2	1	1	2	1	7	4	4	8	2	2	10	7	11	1	4	10	7	9	7	3	13	3	11	2	8	11	1	11	3	6	5	3	8	12	13	10	9	13	7	2	10	3	2	12	14	8	10	11	14	10	5	7	13	11	3	9	11	4	13	10	8	8	10	5	15	13	10	3	2	13	3	15	9	9	2	5	4	13	15	9	7	1	1	3	16	4	4	11	4	5	6	1	7	3	10	10	7	7	4	4	11	12	1	5	1	2	2	1	11	2	7	7	1	4
3500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.427314758040792	0.000067737196052	0.000060882186369	0.898799919646011	0.140715960271912	0.000000000000000	0.000000000000000	-4	5	5	-1	2	5	4	-6	-3	-1	12	-6	12	2	9	1	4	-3	-3	-3	-5	5	8	2	18	1	-3	-1	-5	-3	5	4	-6	4	0	7	13	8	-3	-4	9	-1	-1	5	9	6	5	-4	1	2	3	4	1	13	14	-1	-6	0	1	9	10	7	7	6	2	2	6	1	2	8	12	6	7	1	5	5	4	1	-3	1	11	3	9	11	6	-6	3	0	2	-6	11	16	0	8	8	0	18	-2	9	11	12	6	10	2	10	3	14	-3	3	15	1	0	3	8	32	12	103	52	49	0	24	0	49	1	96	88	70	96	81	51	44	14	75	41	104	36	24	74	27	43	99	34	61	49	85	103	32	91	43	34	96	114	93	48	76	24	46	81	68	94	35	55	12	2	6	32	71	7	57	17	63	5	2	63	91	53	28	45	95	6	88	63	40	22	84	2	38	26	75	6	17	48	112	1	50	46	35	114	57	62	47	58	50	10	77	3	70	109	77	84	107	68	97	58	91	31	79	39	62	73	84	33	0	45	43	0	6	49	79	89	0	21	3	5	4	1	3	1	5	5	1	8	3	7	3	2	6	1	4	7	12	2	11	6	13	2	12	3	6	6	9	12	9	10	2	8	14	11	13	12	12	12	13	2	6	5	2	7	7	9	8	12	14	1	9	7	13	12	8	2	9	1	13	14	4	9	10	5	15	11	8	8	9	9	15	15	12	6	10	11	11	13	15	8	1	1	5	8	16	1	13	3	11	3	8	6	1	8	10	3	5	7	8	2	14	12	6	13	1	5	3	1	3	7	10	9	1	13
4000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.360839014904518	0.000090662948553	0.000051418344778	0.567137354329829	0.127868362373012	0.000000000000000	0.000000000000000	10	5	1	-1	-1	3	-1	5	5	-1	6	-4	4	2	2	-1	10	2	6	-4	4	7	-2	2	-4	17	7	3	4	3	3	11	2	5	5	-5	6	11	-2	5	-4	8	0	8	-5	-3	9	0	-4	-1	1	15	8	-5	8	-1	0	5	-4	8	3	-1	12	-6	20	-6	6	9	0	13	0	-1	0	-5	4	16	8	15	2	-4	15	8	-3	2	-3	7	2	-2	-1	-3	2	7	7	1	5	16	1	7	16	6	9	-5	-1	13	0	6	2	0	-3	18	-5	10	-1	-3	21	-4	86	46	92	0	8	0	15	37	108	104	35	11	73	80	108	6	73	36	2	104	93	11	31	30	74	30	69	5	22	45	49	34	38	65	12	97	102	74	71	97	5	39	60	61	65	108	6	51	16	3	90	85	44	96	8	109	53	64	50	103	80	14	113	93	104	58	64	97	15	98	91	79	75	49	106	29	58	38	5	89	107	88	62	4	57	48	54	17	26	12	14	12	12	86	53	93	98	80	49	103	49	107	41	58	54	101	0	94	23	0	53	25	71	113	0	72	4	1	6	1	6	1	1	2	7	3	6	3	2	8	9	8	11	11	1	6	10	6	13	9	12	6	10	1	5	12	2	4	6	3	13	1	13	12	4	4	13	14	16	5	15	5	5	9	8	6	3	10	3	7	13	12	9	7	6	3	13	14	11	5	9	1	15	8	12	12	8	11	15	15	4	3	15	11	11	10	15	8	13	9	5	12	16	6	10	6	5	10	6	1	5	11	3	4	7	9	1	2	14	5	10	13	1	11	9	1	5	13	8	6	1	10
4500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.372492941291713	0.000143125400925	0.000067378641152	0.470766479722119	0.150043535034175	0.000000000000000	0.000000000000000	0	5	-3	-1	5	9	1	5	3	5	9	4	4	-3	12	3	19	-1	3	-3	-6	12	1	10	1	1	0	-3	4	5	5	3	-2	14	6	10	2	-3	-4	12	-3	12	-1	5	-1	2	5	-2	-6	-6	10	1	0	-1	17	2	6	2	-1	-1	0	1	-6	-4	2	8	23	11	3	-3	-2	-4	13	2	-3	0	-2	10	4	8	20	-5	-5	7	-6	3	-4	5	5	0	4	3	9	-4	-3	8	5	-4	-6	3	-5	1	2	-3	5	-3	17	0	-2	28	3	-1	6	-2	25	8	95	108	78	0	10	0	26	47	99	87	58	85	24	29	15	68	27	37	12	26	88	88	116	42	79	22	50	12	78	92	68	106	52	106	36	44	113	46	28	103	8	105	50	83	70	99	15	72	33	16	49	74	44	20	21	104	39	19	52	86	24	106	70	107	63	116	67	38	76	35	66	92	112	24	86	39	83	109	83	12	107	40	79	48	42	16	111	71	12	21	99	4	96	90	23	4	37	99	63	20	38	53	44	34	9	78	0	72	103	0	116	107	105	102	0	22	1	6	1	1	4	1	8	3	5	5	1	8	8	8	11	1	11	11	1	4	1	5	13	6	8	8	10	6	15	13	4	4	2	13	11	3	7	2	5	7	4	14	16	1	15	5	11	7	9	8	4	4	4	4	13	8	4	12	13	1	13	2	11	6	12	4	15	5	5	9	2	10	15	15	4	10	15	12	7	3	15	4	13	2	1	12	16	8	2	4	4	10	12	9	2	7	13	14	5	1	9	7	14	6	2	13	1	12	5	1	4	3	10	8	1	10
