step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89
1	-5892.954966288707510	-5891.492884204189068	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.488952225422224	-1	2	1	2	3	6	6	7	8	8	8	11	9	11	12	12	12	12	12	12	11	13	13	12	13	12	14	15	14	16	15	16	15	16	17	18	17	18	18	16	18	17	17	16	18	17	20	18	19	18	21	19	18	19	20	20	19	20	20	20	19	20	20	20	21	22	22	21	20	22	22	22	22	22	21	22	22	23	23	25	24	23	24	24	24	25	25	27	26	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	4	4	4	5	5	5	6	5	6	7	7	7	7	7	7	6	7	7	7	7	7	8	8	8	9	8	9	8	9	9	10	9	10	10	9	10	9	9	9	10	9	11	10	10	10	11	10	10	10	11	11	10	11	11	11	10	11	11	11	11	12	12	11	11	12	12	12	12	12	11	12	12	12	12	13	13	12	13	13	13	13	13	14	14
500	-1046.309112891704899	-1044.492711651100535	-1.816401240604345	0.000009970064753	0.000018732437457	1.878868184083905	0.200361753738892	-3	3	2	2	3	5	6	7	8	9	9	12	7	10	13	11	13	10	9	13	10	10	13	9	10	10	15	12	11	13	15	14	15	15	17	17	18	19	18	14	17	18	17	16	16	18	21	17	18	17	21	17	19	19	21	20	19	20	21	21	18	20	20	21	22	23	22	21	20	23	22	23	22	21	22	23	22	24	24	26	25	23	25	25	23	25	26	27	26	0	4	1	1	4	2	5	3	4	5	2	9	0	5	4	13	8	13	13	29	10	0	8	13	24	13	17	5	19	22	26	5	29	9	24	27	10	30	30	25	40	29	29	29	27	29	24	32	12	34	16	29	20	2	24	42	24	22	30	29	18	31	50	22	24	34	24	43	29	30	24	19	19	5	40	47	54	24	26	30	29	24	61	69	18	40	20	50	18	1	1	2	1	1	1	2	2	3	4	3	2	1	3	5	2	3	2	1	1	1	1	3	2	1	2	2	3	2	3	2	6	2	4	3	1	4	4	2	3	1	5	4	3	1	4	5	2	4	1	5	4	3	8	9	1	6	7	5	5	4	2	2	11	13	7	10	4	7	4	5	9	9	10	5	1	2	10	8	11	10	11	3	3	9	6	6	4	10
1000	-869.594811429857032	-867.671660037260494	-1.923151392596502	0.000010026062648	0.000021505317229	2.144941437511943	0.343539485854797	0	2	2	2	4	6	7	8	9	8	8	11	8	11	13	13	12	12	11	12	11	13	13	10	13	13	14	16	15	15	15	16	12	15	17	19	15	19	18	15	18	16	17	17	18	17	20	18	19	18	21	19	18	20	20	19	19	20	20	19	20	21	20	21	22	22	23	22	20	22	22	22	23	23	20	22	22	23	23	26	24	24	24	25	24	26	26	27	26	0	1	1	1	4	5	4	4	3	6	2	8	0	8	10	19	8	13	13	13	10	0	14	13	24	6	17	40	20	22	12	12	19	9	37	32	25	30	26	16	16	33	33	19	32	19	53	23	27	34	12	10	40	56	24	18	18	30	30	37	57	48	50	22	24	34	24	43	42	30	53	19	28	69	40	40	45	61	18	64	19	24	79	63	60	75	68	83	75	1	1	1	1	1	1	2	3	4	1	3	1	1	1	2	1	1	3	1	3	2	1	2	1	1	5	1	1	2	2	2	2	1	5	1	1	1	3	3	1	3	1	3	4	1	3	1	2	3	2	4	6	2	1	7	3	3	4	3	2	1	1	1	6	4	6	10	4	2	4	2	8	3	2	2	3	2	2	4	2	6	8	1	2	3	2	3	2	6
1500	-710.507662943772289	-708.940087083749404	-1.567575860022849	0.000010056264502	0.000012800487354	1.272886900719476	0.544838552403785	-1	3	1	0	4	6	6	6	9	9	8	11	8	11	11	12	12	12	12	11	11	13	14	13	13	13	14	15	14	15	15	17	14	16	17	17	17	17	18	16	19	17	17	16	16	17	21	19	18	19	21	19	18	19	20	18	19	20	21	20	20	21	19	21	22	22	20	21	20	23	23	22	22	21	21	22	22	23	23	25	25	24	25	23	24	25	24	27	27	0	4	1	1	3	5	5	4	13	5	5	2	0	11	10	11	11	13	13	11	10	0	1	18	18	14	17	26	19	22	13	27	19	9	24	27	20	30	23	24	46	29	33	19	27	29	57	42	17	34	23	32	40	46	57	42	31	39	39	19	53	40	34	38	53	34	25	56	42	38	40	46	60	41	67	53	19	61	53	70	60	67	67	63	72	75	77	83	75	1	1	1	1	2	1	1	4	1	2	3	3	1	1	1	2	2	2	3	1	1	1	3	1	1	1	1	1	1	1	4	1	1	5	2	2	3	1	1	2	1	1	2	2	1	2	1	1	3	2	3	1	1	1	1	1	4	1	1	3	1	3	2	3	3	4	4	2	2	5	2	3	2	1	1	2	5	2	2	1	3	2	2	1	1	3	1	1	6
2000	-698.726974612403524	-696.599607780423639	-2.127366831979899	0.000010057446158	0.000026937734311	2.678387126069940	0.570280265133854	0	2	2	3	2	7	6	8	8	9	9	10	9	11	13	12	13	12	12	12	11	13	13	13	14	10	14	16	14	15	16	16	14	17	16	18	16	17	18	16	18	18	17	16	18	18	20	19	20	18	20	20	18	20	20	19	18	20	20	20	19	20	20	21	21	22	23	22	20	22	21	22	21	22	22	22	22	22	22	25	24	23	21	24	24	24	25	27	27	0	1	1	5	1	5	5	6	2	6	8	8	0	11	16	8	12	13	13	21	10	0	14	9	18	9	9	19	19	22	25	27	19	16	24	6	27	30	30	24	37	19	19	29	27	33	61	25	32	34	27	42	40	29	57	42	40	39	39	46	57	35	50	38	48	34	76	56	42	36	53	60	60	63	40	52	51	47	53	70	60	65	53	73	60	75	52	80	86	1	1	1	1	1	2	2	1	3	1	1	2	1	1	1	2	1	1	2	1	1	1	2	2	1	2	3	2	2	1	1	2	1	3	1	4	1	1	2	2	1	3	3	1	2	2	1	3	2	1	4	1	1	4	1	1	1	1	1	1	1	2	2	2	1	3	1	2	1	2	1	1	1	1	5	1	1	1	2	2	4	2	2	1	1	1	3	1	3
2500	-942.841477636160221	-940.511304002431871	-2.330173633728406	0.000009953082578	0.000032324964265	3.247733957101897	0.648917064225381	-2	3	0	1	4	6	3	6	9	7	9	12	9	11	13	12	13	13	12	11	10	14	14	13	12	12	14	15	14	16	14	16	15	16	16	18	17	18	19	15	18	17	15	16	17	15	20	18	19	18	20	19	18	19	21	19	17	21	21	17	19	19	20	19	22	22	22	21	21	22	22	22	21	23	22	21	23	23	24	25	21	22	25	24	24	24	25	26	27	0	3	1	1	1	5	4	5	6	5	6	11	0	5	26	10	14	16	13	9	9	0	14	25	13	9	16	12	19	22	15	27	19	5	24	12	31	30	30	24	35	33	29	29	27	9	57	37	16	34	36	45	40	43	47	42	40	39	28	31	53	42	50	38	47	34	61	56	42	64	76	25	60	76	29	61	72	61	65	38	33	57	79	75	72	75	42	85	86	1	1	1	1	3	1	1	1	1	1	2	2	1	3	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	5	2	2	2	1	1	1	1	1	1	1	1	2	2	1	4	1	1	1	2	2	1	1	2	1	2	1	1	1	2	1	1	3	2	1	2	2	1	2	2	1	7	1	1	2	2	2	2	2	1	1	1	1	3	1	1
3000	-601.157937786404432	-598.847994912280683	-2.309942874123733	0.000009935740475	0.000031684827360	3.188974937498585	0.660534848215769	-1	2	1	2	4	6	4	8	9	8	6	10	9	12	11	12	13	11	12	13	12	12	13	12	13	11	14	15	15	15	16	16	16	17	18	19	18	18	18	16	19	16	17	17	18	18	20	18	19	19	21	20	19	19	21	18	18	21	19	20	19	19	19	20	21	22	22	21	20	22	21	22	22	22	21	21	22	24	23	23	25	23	25	24	25	25	25	27	26	0	1	1	1	3	4	4	5	6	11	5	8	0	9	10	2	9	13	13	16	9	0	8	18	18	13	9	25	19	22	21	27	19	20	28	27	22	30	30	24	43	29	19	29	27	33	57	31	37	34	36	63	40	39	61	42	40	39	39	46	57	57	34	38	41	50	76	56	42	64	61	60	60	65	53	40	47	74	71	64	72	76	79	72	73	75	69	81	86	1	2	1	2	1	2	1	2	1	1	1	1	1	2	2	3	2	2	1	1	1	1	2	1	1	1	3	1	2	1	3	1	2	4	2	3	3	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	2	1	2	1	2	1	2	2	3	2	1
3500	-760.051357303839609	-758.154667449987755	-1.896689853851868	0.000010223768303	0.000021247971254	2.078291548100392	0.733483174199620	0	3	2	3	3	6	6	8	8	8	8	11	8	12	12	12	12	11	12	12	11	13	13	12	14	13	15	15	14	17	14	16	15	16	18	19	18	18	18	16	18	16	17	17	19	17	19	18	19	18	19	20	19	19	21	19	19	20	19	20	20	20	19	20	22	21	22	22	21	22	22	22	22	22	20	22	23	24	23	26	24	23	24	24	24	24	25	26	26	0	3	1	1	3	4	2	6	7	6	6	8	0	5	10	18	11	13	18	18	10	0	20	18	13	14	17	22	19	22	21	27	19	26	25	27	25	30	30	31	40	26	29	33	32	33	40	22	32	34	27	50	35	41	47	42	40	39	39	43	57	51	50	38	53	50	53	56	42	64	53	60	60	61	40	53	51	61	40	70	60	53	79	35	35	65	69	87	86	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	2	1	1	2	1	1	1	2	1	1	1	1	3	1	1	2	2	4	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	2	2	1	1	2	1	1	2	2	2	2	3	2	1	2	1	2	3	1	2	1	1
4000	-684.948710967136549	-683.340846019829314	-1.607864947307225	0.000011254898661	0.000015439452490	1.371798445745722	0.589501727310656	-1	2	1	2	3	6	5	5	8	8	7	11	9	11	12	12	13	10	12	12	12	13	13	13	13	13	13	15	15	16	15	15	16	16	18	17	18	18	19	16	18	17	18	16	17	16	21	19	18	18	21	19	17	18	20	18	19	21	21	21	19	20	20	19	21	21	23	21	20	22	23	22	19	23	22	22	21	23	23	24	25	23	23	25	22	23	26	28	25	0	3	1	1	1	8	4	2	11	5	4	9	0	6	9	9	20	13	18	9	11	0	14	13	16	12	6	17	19	22	26	27	19	20	24	32	15	30	30	24	15	19	33	19	32	29	57	53	32	34	49	45	40	26	57	42	40	39	39	73	40	37	50	30	57	37	53	56	42	30	76	60	46	60	73	53	35	47	65	70	74	77	57	86	73	75	69	79	86	1	1	1	1	2	1	1	1	1	1	2	3	1	2	2	1	1	1	1	2	2	1	1	2	1	1	4	1	2	1	1	1	2	4	2	1	4	1	1	2	3	2	1	2	1	1	1	1	2	1	2	1	1	2	1	1	2	1	1	2	2	1	1	1	2	1	3	1	2	3	1	1	2	1	2	2	1	1	1	1	1	1	2	1	2	1	2	1	1
4500	-552.050946882923768	-550.625356567136919	-1.425590315786801	0.000013107138426	0.000011710805307	0.893467736909112	0.649767970863189	-1	3	1	3	4	6	7	7	8	8	9	11	9	11	11	12	13	11	11	13	11	12	13	13	13	12	14	15	13	16	15	16	16	16	17	19	17	18	18	16	17	17	17	15	18	17	19	19	20	17	22	19	18	18	21	19	17	20	21	20	18	18	21	21	21	21	22	21	19	20	20	23	19	23	21	20	23	23	23	24	24	23	24	24	25	25	26	27	27	0	1	1	1	2	4	2	4	6	8	6	11	0	9	10	21	12	13	13	26	10	0	14	18	18	13	12	24	19	22	13	27	19	9	40	32	33	30	30	24	29	33	28	19	27	33	57	33	27	34	32	24	40	33	57	37	24	39	39	73	57	33	34	38	71	34	71	56	41	38	40	60	46	37	40	25	53	57	65	64	60	67	65	78	60	75	69	70	86	1	2	1	2	1	1	2	2	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	1	3	4	1	1	1	1	1	2	3	1	1	2	2	1	1	1	4	1	4	3	1	1	2	1	2	1	2	1	1	1	2	2	1	1	1	1	1	1	1	2	1	3	2	3	3	2	1	1	1	1	2	1	2	2	2	3	1
