step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47
8500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.169339540879073	1	3	5	7	8	10	9	8	10	9	9	10	10	11	10	11	11	13	10	11	11	12	12	13	13	12	13	15	13	13	15	15	18	16	17	16	16	16	18	18	16	18	18	19	20	21	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	5	4	4	5	4	4	5	5	5	5	5	5	6	5	5	5	6	6	6	6	6	6	7	6	6	7	7	9	8	8	8	8	8	9	9	8	9	9	9	10	10	10
9000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.187017064331706	1	3	5	7	8	10	9	8	10	9	9	10	10	11	10	11	11	13	10	11	11	12	12	13	13	12	13	15	13	13	15	15	18	16	17	16	16	16	18	18	16	18	18	19	20	21	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	5	4	4	5	4	4	5	5	5	5	5	5	6	5	5	5	6	6	6	6	6	6	7	6	6	7	7	9	8	8	8	8	8	9	9	8	9	9	9	10	10	10
9500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.148908517528212	1	3	5	7	8	10	9	8	10	9	9	10	10	11	10	11	11	13	10	11	11	12	12	13	13	12	13	15	13	13	15	15	18	16	17	16	16	16	18	18	16	18	18	19	20	21	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	5	4	4	5	4	4	5	5	5	5	5	5	6	5	5	5	6	6	6	6	6	6	7	6	6	7	7	9	8	8	8	8	8	9	9	8	9	9	9	10	10	10
10000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.199743640750360	1	3	5	7	8	10	9	8	10	9	9	10	10	11	10	11	11	13	10	11	11	12	12	13	13	12	13	15	13	13	15	15	18	16	17	16	16	16	18	18	16	18	18	19	20	21	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	5	4	4	5	4	4	5	5	5	5	5	5	6	5	5	5	6	6	6	6	6	6	7	6	6	7	7	9	8	8	8	8	8	9	9	8	9	9	9	10	10	10
10500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.189928696177399	1	3	5	7	8	10	9	8	10	9	9	10	10	11	10	11	11	13	10	11	11	12	12	13	13	12	13	15	13	13	15	15	18	16	17	16	16	16	18	18	16	18	18	19	20	21	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	5	4	4	5	4	4	5	5	5	5	5	5	6	5	5	5	6	6	6	6	6	6	7	6	6	7	7	9	8	8	8	8	8	9	9	8	9	9	9	10	10	10
11000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.151066978383716	1	3	5	7	8	10	9	8	10	9	9	10	10	11	10	11	11	13	10	11	11	12	12	13	13	12	13	15	13	13	15	15	18	16	17	16	16	16	18	18	16	18	18	19	20	21	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	5	4	4	5	4	4	5	5	5	5	5	5	6	5	5	5	6	6	6	6	6	6	7	6	6	7	7	9	8	8	8	8	8	9	9	8	9	9	9	10	10	10
11500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.117408266746398	1	3	5	7	8	10	9	8	10	9	9	10	10	11	10	11	11	13	10	11	11	12	12	13	13	12	13	15	13	13	15	15	18	16	17	16	16	16	18	18	16	18	18	19	20	21	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	5	4	4	5	4	4	5	5	5	5	5	5	6	5	5	5	6	6	6	6	6	6	7	6	6	7	7	9	8	8	8	8	8	9	9	8	9	9	9	10	10	10
12000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.211718466396042	1	3	5	7	8	10	9	8	10	9	9	10	10	11	10	11	11	13	10	11	11	12	12	13	13	12	13	15	13	13	15	15	18	16	17	16	16	16	18	18	16	18	18	19	20	21	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	5	4	4	5	4	4	5	5	5	5	5	5	6	5	5	5	6	6	6	6	6	6	7	6	6	7	7	9	8	8	8	8	8	9	9	8	9	9	9	10	10	10
12500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.162122891645511	1	3	5	7	8	10	9	8	10	9	9	10	10	11	10	11	11	13	10	11	11	12	12	13	13	12	13	15	13	13	15	15	18	16	17	16	16	16	18	18	16	18	18	19	20	21	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	5	4	4	5	4	4	5	5	5	5	5	5	6	5	5	5	6	6	6	6	6	6	7	6	6	7	7	9	8	8	8	8	8	9	9	8	9	9	9	10	10	10
13000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.173825914045263	1	3	5	7	8	10	9	8	10	9	9	10	10	11	10	11	11	13	10	11	11	12	12	13	13	12	13	15	13	13	15	15	18	16	17	16	16	16	18	18	16	18	18	19	20	21	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	5	4	4	5	4	4	5	5	5	5	5	5	6	5	5	5	6	6	6	6	6	6	7	6	6	7	7	9	8	8	8	8	8	9	9	8	9	9	9	10	10	10
13500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.173720796721204	1	3	5	7	8	10	9	8	10	9	9	10	10	11	10	11	11	13	10	11	11	12	12	13	13	12	13	15	13	13	15	15	18	16	17	16	16	16	18	18	16	18	18	19	20	21	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	5	4	4	5	4	4	5	5	5	5	5	5	6	5	5	5	6	6	6	6	6	6	7	6	6	7	7	9	8	8	8	8	8	9	9	8	9	9	9	10	10	10
14000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.139427166816386	1	3	5	7	8	10	9	8	10	9	9	10	10	11	10	11	11	13	10	11	11	12	12	13	13	12	13	15	13	13	15	15	18	16	17	16	16	16	18	18	16	18	18	19	20	21	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	5	4	4	5	4	4	5	5	5	5	5	5	6	5	5	5	6	6	6	6	6	6	7	6	6	7	7	9	8	8	8	8	8	9	9	8	9	9	9	10	10	10
14500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.147119657991970	1	3	5	7	8	10	9	8	10	9	9	10	10	11	10	11	11	13	10	11	11	12	12	13	13	12	13	15	13	13	15	15	18	16	17	16	16	16	18	18	16	18	18	19	20	21	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	5	4	4	5	4	4	5	5	5	5	5	5	6	5	5	5	6	6	6	6	6	6	7	6	6	7	7	9	8	8	8	8	8	9	9	8	9	9	9	10	10	10
15000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.143177510327131	1	3	5	7	8	10	9	8	10	9	9	10	10	11	10	11	11	13	10	11	11	12	12	13	13	12	13	15	13	13	15	15	18	16	17	16	16	16	18	18	16	18	18	19	20	21	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	5	4	4	5	4	4	5	5	5	5	5	5	6	5	5	5	6	6	6	6	6	6	7	6	6	7	7	9	8	8	8	8	8	9	9	8	9	9	9	10	10	10
15500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.194286706223845	1	3	5	7	8	10	9	8	10	9	9	10	10	11	10	11	11	13	10	11	11	12	12	13	13	12	13	15	13	13	15	15	18	16	17	16	16	16	18	18	16	18	18	19	20	21	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	5	4	4	5	4	4	5	5	5	5	5	5	6	5	5	5	6	6	6	6	6	6	7	6	6	7	7	9	8	8	8	8	8	9	9	8	9	9	9	10	10	10
16000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.195702953109517	1	3	5	7	8	10	9	8	10	9	9	10	10	11	10	11	11	13	10	11	11	12	12	13	13	12	13	15	13	13	15	15	18	16	17	16	16	16	18	18	16	18	18	19	20	21	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	5	4	4	5	4	4	5	5	5	5	5	5	6	5	5	5	6	6	6	6	6	6	7	6	6	7	7	9	8	8	8	8	8	9	9	8	9	9	9	10	10	10
16500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.209010705666390	1	3	5	7	8	10	9	8	10	9	9	10	10	11	10	11	11	13	10	11	11	12	12	13	13	12	13	15	13	13	15	15	18	16	17	16	16	16	18	18	16	18	18	19	20	21	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	5	4	4	5	4	4	5	5	5	5	5	5	6	5	5	5	6	6	6	6	6	6	7	6	6	7	7	9	8	8	8	8	8	9	9	8	9	9	9	10	10	10
17000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.161986946183169	1	3	5	7	8	10	9	8	10	9	9	10	10	11	10	11	11	13	10	11	11	12	12	13	13	12	13	15	13	13	15	15	18	16	17	16	16	16	18	18	16	18	18	19	20	21	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	5	4	4	5	4	4	5	5	5	5	5	5	6	5	5	5	6	6	6	6	6	6	7	6	6	7	7	9	8	8	8	8	8	9	9	8	9	9	9	10	10	10
17500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.149884319249195	1	3	5	7	8	10	9	8	10	9	9	10	10	11	10	11	11	13	10	11	11	12	12	13	13	12	13	15	13	13	15	15	18	16	17	16	16	16	18	18	16	18	18	19	20	21	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	5	4	4	5	4	4	5	5	5	5	5	5	6	5	5	5	6	6	6	6	6	6	7	6	6	7	7	9	8	8	8	8	8	9	9	8	9	9	9	10	10	10
